,Loan Number,Region,Country,Borrower,Guarantor,Loan Type,Loan Status,Interest Rate,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrowers Obligation,Loans Held,Agreement Signing Date,Effective Date (Most Recent),Closed Date (Most Recent)
0,IBRD00010,EUROPE AND CENTRAL ASIA,France,CREDIT NATIONAL,France,NPL,Fully Repaid,4.25,250000000.0,0.0,0.0,250000000.0,38000.0,0.0,0.0,0.0,0.0,1947-05-09,1947-06-09,1947-12-31
5,IBRD00050,LATIN AMERICA AND CARIBBEAN,Chile,Ministry of Finance,Chile,NPL,Fully Repaid,4.5,13500000.0,0.0,0.0,13500000.0,12167000.0,0.0,0.0,0.0,0.0,1948-03-25,1949-04-07,1954-12-31
6,IBRD00060,LATIN AMERICA AND CARIBBEAN,Chile,Ministry of Finance,Chile,NPL,Fully Repaid,3.75,2500000.0,0.0,0.0,2500000.0,755000.0,0.0,0.0,0.0,0.0,1948-03-25,1949-04-07,1950-01-01
13,IBRD00111,LATIN AMERICA AND CARIBBEAN,Brazil,Ministério da Fazenda,Brazil,NPL,Fully Repaid,4.5,75000000.0,0.0,0.0,75000000.0,70971588.97,0.0,0.0,0.0,0.0,1949-01-27,1949-05-09,1953-12-31
14,IBRD00112,LATIN AMERICA AND CARIBBEAN,Brazil,Ministério da Fazenda,Brazil,NPL,Fully Repaid,4.25,15000000.0,0.0,0.0,15000000.0,15000000.0,0.0,0.0,0.0,0.0,1951-01-18,1951-04-10,1954-12-31
15,IBRD00120,LATIN AMERICA AND CARIBBEAN,Mexico,Secretaria de Hacienda Y Credito Publico,Mexico,NPL,Fully Repaid,4.5,24100000.0,0.0,0.0,24100000.0,20131700.0,0.0,0.0,0.0,0.0,1949-01-06,1949-03-15,1956-03-31
16,IBRD00130,LATIN AMERICA AND CARIBBEAN,Mexico,Secretaria de Hacienda Y Credito Publico,Mexico,NPL,Fully Cancelled,4.5,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949-01-06,1949-03-15,1950-07-01
17,IBRD00140,EUROPE AND CENTRAL ASIA,Belgium,MINISTERE DES FINANCES,Belgium,NPL,Fully Repaid,4.25,16000000.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,1949-03-01,1949-03-01,1952-06-01
20,IBRD00170,SOUTH ASIA,India,CONTROLLER OF AID ACCOUNTS & AUDIT,India,NPL,Fully Repaid,4.0,34000000.0,0.0,0.0,32800000.0,15056370.48,0.0,0.0,0.0,0.0,1949-08-18,1949-11-02,1951-03-31
21,IBRD00180,LATIN AMERICA AND CARIBBEAN,Colombia,MINISTERIO DE HACIENDA Y CREDITO PUBLICO,Colombia,NPL,Fully Repaid,3.5,5000000.0,0.0,0.0,4925440.84,2925440.84,0.0,0.0,0.0,0.0,1949-08-19,1949-10-22,1951-04-01
22,IBRD00190,SOUTH ASIA,India,CONTROLLER OF AID ACCOUNTS & AUDIT,India,NPL,Fully Repaid,3.5,10000000.0,0.0,0.0,7203813.27,2263000.0,0.0,0.0,0.0,0.0,1949-09-29,1949-12-01,1953-12-31
25,IBRD00220,LATIN AMERICA AND CARIBBEAN,El Salvador,MINISTRY OF PLANNING AND COORDINATION,El Salvador,NPL,Fully Repaid,4.25,12545000.0,0.0,0.0,12545000.0,11545000.0,0.0,0.0,0.0,0.0,1949-12-14,1950-09-15,1955-01-01
26,IBRD00230,SOUTH ASIA,India,CONTROLLER OF AID ACCOUNTS & AUDIT,India,NPL,Fully Repaid,4.0,18500000.0,0.0,0.0,16720500.0,10851500.0,0.0,0.0,0.0,0.0,1950-04-18,1951-02-21,1956-02-29
27,IBRD00240,LATIN AMERICA AND CARIBBEAN,Mexico,Secretaria de Hacienda Y Credito Publico,Mexico,NPL,Fully Repaid,4.5,26000000.0,0.0,0.0,26000000.0,21974000.0,0.0,0.01,0.01,0.0,1950-04-28,1950-06-30,1953-06-30
28,IBRD00250,LATIN AMERICA AND CARIBBEAN,Brazil,Ministério da Fazenda,Brazil,NPL,Fully Repaid,4.25,15000000.0,0.0,0.0,15000000.0,15000000.0,0.0,0.0,0.0,0.0,1950-05-26,1950-07-27,1956-12-31
29,IBRD00260,MIDDLE EAST AND NORTH AFRICA,Iraq,PLANNING COMMISSION,Iraq,NPL,Fully Repaid,3.75,12800000.0,0.0,0.0,6293946.46,6293946.46,0.0,0.0,0.0,0.0,1950-06-15,1951-07-12,1955-12-31
30,IBRD00270,EUROPE AND CENTRAL ASIA,Turkiye,Ministry of Treasury and Finance,Turkiye,NPL,Fully Repaid,3.875,3900000.0,0.0,0.0,3900000.0,3756000.0,0.0,0.0,0.0,0.0,1950-07-07,1950-11-28,1958-08-30
31,IBRD00281,EUROPE AND CENTRAL ASIA,Turkiye,Ministry of Treasury and Finance,Turkiye,NPL,Fully Repaid,4.25,12500000.0,0.0,0.0,12500000.0,12500000.0,0.0,0.0,0.0,0.0,1950-07-07,1951-01-23,1954-12-31
32,IBRD00282,EUROPE AND CENTRAL ASIA,Turkiye,Ministry of Treasury and Finance,Turkiye,NPL,Fully Repaid,4.875,3800000.0,0.0,0.0,3797850.34,3797850.34,0.0,0.0,0.0,0.0,1954-02-26,1954-06-11,1961-06-30
33,IBRD00290,EAST ASIA AND PACIFIC,Australia,THE SECRETARY,Australia,NPL,Fully Repaid,4.25,100000000.0,0.0,0.0,100000000.0,47617254.6,0.0,0.0,0.0,0.0,1950-08-22,1950-12-27,1952-12-31
